trans_code	vehicle_type	dist_seq	distribute_lea_tm	distribute_arr_tm	distance	trans_cost	charge_cost	wait_cost	fixed_use_cost	total_cost	charge_cnt
DP0001	1	0;539;463;801;37;459;954;307;793;0	8:53	14:39	83998	1007.976	0	0	200	1207.976	0
DP0002	1	0;454;612;141;0	13:3	15:20	37511	450.132	0	0	200	650.132	0
DP0003	1	0;593;577;947;974;319;180;8;561;535;0	8:56	15:22	93562	1122.744	0	0	200	1322.744	0
DP0004	1	0;565;831;158;759;570;975;475;43;799;0	9:11	15:25	82584	991.008	0	0	200	1191.008	0
DP0005	1	0;478;754;264;63;99;510;248;0	9:35	14:48	82983	995.796	0	0	200	1195.796	0
DP0006	1	0;911;400;682;468;380;164;525;352;0	9:09	14:49	79311	951.732	0	0	200	1151.732	0
DP0007	1	0;925;715;107;391;216;600;94;0	9:19	14:51	98465	1181.58	0	0	200	1381.58	0
DP0008	1	0;349;335;279;293;163;0	10:48	15:00	81835	982.02	0	0	200	1182.02	0
DP0009	1	0;518;113;102;921;647;1084;472;130;0	8:28	14:57	121211	1454.532	50	0	200	1704.532	1
DP0010	1	0;724;980;74;0	12:42	15:43	75012	900.144	0	0	200	1100.144	0
DP0011	1	0;809;101;531;40;783;470;345;29;114;1008;0	8:46	16:12	117952	1415.424	50	0	200	1665.424	1
DP0012	1	0;85;964;33;125;0	11:56	15:42	85772	1029.264	0	0	200	1229.264	0
DP0013	1	0;30;81;186;628;172;761;948;1073;0	9:24	15:51	118830	1425.96	50	0	200	1675.96	1
DP0014	1	0;45;399;246;217;680;897;2;0	9:34	15:3	97651	1171.812	0	0	200	1371.812	0
DP0015	1	0;564;329;578;78;71;1018;545;546;0	8:22	14:59	128104	1537.248	50	0	200	1787.248	1
DP0016	1	0;938;800;493;778;298;877;675;1014;0	10:11	16:22	106051	1272.612	50	0	200	1522.612	1
DP0017	1	0;840;173;383;898;0	11:16	15:15	96561	1158.732	0	0	200	1358.732	0
DP0018	1	0;659;342;221;607;0	12:1	15:51	89405	1072.86	0	0	200	1272.86	0
DP0019	1	0;436;748;11;0	12:48	15:42	68221	818.652	0	0	200	1018.652	0
