行号,物料编码,物料名称,规格,单位,仓库,库存数量,占用数量,可用数量,公司,货位
1,100400006,头盔-夏款,1个/箱,箱,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
2,100400004,头盔-秋冬款,1个/箱,箱,北京仓,8,0,8,拉扎斯网络科技（上海）有限公司,货位A1-001
3,100400004,头盔-秋冬款,1个/箱,箱,上海仓,3,0,3,拉扎斯网络科技（上海）有限公司,货位A1-001
4,100400006,头盔-夏款,1个/箱,箱,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
5,100400004,头盔-秋冬款,1个/箱,箱,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
6,100400006,头盔-夏款,1个/箱,箱,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
7,100400017,夏款头盔[1个/箱],1个/箱,箱,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
8,100400017,夏款头盔[1个/箱],1个/箱,箱,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
9,100400017,夏款头盔[1个/箱],1个/箱,箱,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
10,010600001,头盔-17夏款,,个,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
11,010600001,头盔-17夏款,,个,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
12,100400004,头盔-秋冬款,1个/箱,箱,蜂鸟商城哈尔滨仓,3,0,3,拉扎斯网络科技（上海）有限公司,货位A1-001
13,010500003,头盔-18夏盔,,个,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
14,010500003,头盔-18夏盔,,个,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
15,010500003,头盔-18夏盔,,个,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
16,010600001,头盔-17夏款,,个,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
17,091200018,小礼品-头盔钥匙扣,200个/箱,箱,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
18,010500003,头盔-18夏盔,,个,百世-上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
19,100400004,头盔-秋冬款,1个/箱,箱,百世-上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
20,010500001,头盔-秋冬款2XL,2XL,个,上海仓,0,370,2,拉扎斯网络科技（上海）有限公司,货位A1-001
21,010500002,头盔-秋冬款L,L,个,宅急送-广州仓,1813,0,2141,拉扎斯网络科技（上海）有限公司,A1-001
